                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3051,                 1.8911,                 1.3199,                0.39533,                0.37026,                0.31677,                0.18287,                 1.4977,                 2.7519,                 1.5163,               0.067032,             0.00033301,             0.00033301
                      2,                 1.2784,                 1.4921,                 1.3328,                0.63373,                 0.4837,                0.51715,                0.30714,                 1.4571,                 1.8027,                 1.4235,                0.03403,             0.00066415,             0.00066415
                      3,                   1.27,                  1.423,                 1.3373,                0.71685,                0.60756,                0.67709,                0.42395,                 1.3249,                 1.3334,                 1.3686,              0.0010253,             0.00099308,             0.00099308
                      4,                 1.2405,                 1.3332,                 1.3268,                0.71409,                0.62166,                0.69824,                0.44382,                 1.2877,                 1.3095,                 1.3256,              0.0009901,              0.0009901,              0.0009901
                      5,                 1.2145,                 1.2585,                 1.3185,                0.76618,                0.69726,                0.76611,                0.50651,                 1.2157,                 1.0202,                 1.2749,              0.0009868,              0.0009868,              0.0009868
                      6,                 1.1968,                 1.2088,                 1.3059,                0.81481,                0.74748,                0.82313,                0.55069,                 1.1687,                0.88726,                 1.2488,              0.0009835,              0.0009835,              0.0009835
                      7,                 1.1826,                 1.1756,                 1.2985,                0.82909,                0.76349,                0.84117,                 0.5717,                 1.1429,                0.82551,                 1.2309,              0.0009802,              0.0009802,              0.0009802
                      8,                 1.1747,                 1.1457,                 1.2953,                0.83201,                0.78203,                0.85198,                0.58245,                  1.122,                0.79397,                 1.2182,              0.0009769,              0.0009769,              0.0009769
                      9,                 1.1683,                 1.1316,                  1.294,                 0.8412,                0.79516,                0.86221,                0.59139,                 1.1146,                0.75979,                 1.2145,              0.0009736,              0.0009736,              0.0009736
                     10,                 1.1621,                 1.1091,                 1.2885,                0.85261,                0.80735,                0.87234,                0.60439,                 1.0968,                0.72049,                 1.2001,              0.0009703,              0.0009703,              0.0009703
                     11,                 1.1543,                 1.0921,                 1.2881,                 0.8589,                0.81036,                0.87417,                0.60756,                 1.0865,                0.70832,                 1.1991,               0.000967,               0.000967,               0.000967
                     12,                   1.15,                 1.0782,                 1.2832,                0.85982,                0.81945,                0.87929,                0.61421,                 1.0792,                0.69024,                 1.1907,              0.0009637,              0.0009637,              0.0009637
                     13,                 1.1479,                 1.0716,                 1.2845,                0.86175,                0.82439,                0.88237,                0.61776,                 1.0735,                0.68269,                 1.1889,              0.0009604,              0.0009604,              0.0009604
                     14,                 1.1405,                 1.0636,                 1.2774,                0.86401,                0.82897,                0.88441,                0.61863,                 1.0733,                0.67652,                 1.1857,              0.0009571,              0.0009571,              0.0009571
